original_name,clean_name_x,url,source_url,land_size_sqm,master_plan_gfa_sqm,master_plan_plot_ratio,project_name,street_name,postal_code_x,property_type,tenure,district_planning_area,completion,number_of_units,historical_high,indicative_average_price_from_historical_high,historical_low,buyer_profile_by_residential_status,buyer_profile_by_purchaser_address,indicative_price_range_average,indicative_rental_range_average,implied_rental_yield,developer,age_years,architect,main_contractor,status,clean_name_y,address,postal_code_y,latitude,longitude,blk_no,road_name,search_query,nearest_mrt,mrt_distance,mrt_station_code
HELIOS RESIDENCES,helios-residences,https://www.edgeprop.sg/condo-apartment/helios-residences,https://www.edgeprop.sg/condo-apartment/helios-residences,"7,400","20,790",2.8,HELIOS RESIDENCES,CAIRNHILL CIRCLE,"229815, 229816",Apartment,Freehold,D9 / Newton,2011,140 units,"S$ 3,976 psf in Jan 2013 for a 1,668-sqft unit",-39.7%,"S$ 1,815 psf in Nov 2020 for a 4,629-sqft unit","Singaporean 38.7%, PR 18.3%, Foreigner 38.7%, Company 4.3%","HDB 10.8%, Private 89.2%","S$ 2,239 - S$ 2,535 psf / S$ 2,396 psf",S$ 4.3 - S$ 7.0 psf pm / S$ 5.5 psf pm,2.8%,WINNERVEST INVESTMENT PTE LTD,14.0,P & T CONSULTANTS PTE LTD,THIAN SUNG CONSTRUCTION PTE LTD,,helios-residences,15 CAIRNHILL CIRCLE HELIOS RESIDENCES SINGAPORE 229815,229815,1.30656259650495,103.837800731046,15,CAIRNHILL CIRCLE,HELIOS RESIDENCES,NEWTON MRT STATION,614.764187232735,Exit B
ONE ROBIN,one-robin,https://www.edgeprop.sg/condo-apartment/one-robin,https://www.edgeprop.sg/condo-apartment/one-robin,"1,400","2,940",2.1,ONE ROBIN,Robin Road,258176,Apartment,Freehold,D10 / Tanglin,2009,14 units,"S$ 2,110 psf in Dec 2024 for a 1,948-sqft unit",0.0%,"S$ 1,155 psf in Mar 2022 for a 1,905-sqft unit","Singaporean 43.8%, PR 15.6%, Foreigner 34.4%, Company 6.3%","HDB 3.1%, Private 96.9%","S$ 2,110 - S$ 2,110 psf / S$ 2,110 psf",S$ 4.9 - S$ 4.9 psf pm / S$ 4.9 psf pm,2.8%,POPULAR LAND PTE LTD,16.0,FORUM ARCHITECTS,CHONG TONG CONSTRUCTION PTE LTD,,one-robin,1 ROBIN ROAD ONE ROBIN SINGAPORE 258176,258176,1.31891775628596,103.828701817349,1,ROBIN ROAD,ONE ROBIN,STEVENS MRT STATION,299.0009612131562,Exit 2
RIVERBANK @ FERNVALE,riverbank-fernvale,https://www.edgeprop.sg/condo-apartment/riverbank-fernvale,https://www.edgeprop.sg/condo-apartment/riverbank-fernvale,"16,629","49,885",3.0,RIVERBANK @ FERNVALE,Fernvale Close,"797475, 797476, 797477, 797478, 797479",Condominium,99 Yrs From 10/07/2013,D28 / Sengkang,2017,555 units,"S$ 1,605 psf in May 2023 for a 710-sqft unit",-10.6%,S$ 791 psf in Mar 2014 for a 710-sqft unit,"Singaporean 79.8%, PR 16.6%, Foreigner 3.6%, Company 0.0%","HDB 70.3%, Private 29.7%","S$ 1,272 - S$ 1,575 psf / S$ 1,435 psf",S$ 2.9 - S$ 6.2 psf pm / S$ 4.4 psf pm,3.6%,UOL DEVELOPMENT (SENGKANG) PTE LTD,8.0,DP ARCHITECTS PTE LTD,QINGJIAN INTERNATIONAL (SOUTH PACIFIC) GROUP DEVT CO PTE LTD,,riverbank-fernvale,11 FERNVALE CLOSE RIVERBANK @ FERNVALE SINGAPORE 797475,797475,1.39459641963935,103.881117176349,11,FERNVALE CLOSE,RIVERBANK @ FERNVALE,LAYAR LRT STATION,293.3645026243544,Exit B
THE RIVERSIDE PIAZZA,the-riverside-piazza,https://www.edgeprop.sg/condo-apartment/the-riverside-piazza,https://www.edgeprop.sg/condo-apartment/the-riverside-piazza,"2,941","8,235",2.8,THE RIVERSIDE PIAZZA,Keng Cheow Street,059608,Apartment,99 Yrs From 02/10/1992,D1 / Singapore River,1996,40 units,"S$ 1,591 psf in Dec 2021 for a 1,012-sqft unit",-0.6%,"S$ 420 psf in Feb 2005 for a 1,012-sqft unit","Singaporean 64.4%, PR 17.8%, Foreigner 11.1%, Company 6.7%","HDB 29.5%, Private 70.5%","S$ 1,581 - S$ 1,581 psf / S$ 1,581 psf",S$ 3.2 - S$ 4.7 psf pm / S$ 4.2 psf pm,3.2%,,,,,,the-riverside-piazza,11 KENG CHEOW STREET THE RIVERSIDE PIAZZA SINGAPORE 059608,59608,1.2884862000316,103.844049441363,11,KENG CHEOW STREET,THE RIVERSIDE PIAZZA,CLARKE QUAY MRT STATION,219.5517156264957,Exit B
ALEGRIA,alegria,https://www.edgeprop.sg/condo-apartment/alegria,https://www.edgeprop.sg/condo-apartment/alegria,870,"1,220",1.4,ALEGRIA,Thomson Road,307669,Apartment,Freehold,D11 / Novena,2005,12 units,"S$ 1,573 psf in May 2022 for a 667-sqft unit",0.0%,"S$ 685 psf in Jul 2005 for a 1,862-sqft unit","Singaporean 70.0%, PR 10.0%, Foreigner 20.0%, Company 0.0%","HDB 25.0%, Private 75.0%","S$ 1,573 - S$ 1,573 psf / S$ 1,573 psf",S$ 4.9 - S$ 5.1 psf pm / S$ 5.0 psf pm,3.8%,FIRST CENCON CORPORATION PTE LTD,20.0,,,,alegria,323C THOMSON ROAD ALEGRIA SINGAPORE 307669,307669,1.32430300605838,103.841018068843,323C,THOMSON ROAD,ALEGRIA,NOVENA MRT STATION,517.4032656171777,Exit A
SERENITY PARK,serenity-park,https://www.edgeprop.sg/condo-apartment/serenity-park,https://www.edgeprop.sg/condo-apartment/serenity-park,"23,045","32,274",1.4,SERENITY PARK,Tamarind Road,"806105, 806106, 806107, 806108, 806109, 806110, 806111, 806012, 806016",Condominium,Freehold,D28 / Serangoon,1995,179 units,"S$ 1,348 psf in Jan 2025 for a 1,313-sqft unit",0.0%,"S$ 370 psf in Oct 1998 for a 1,593-sqft unit","Singaporean 93.1%, PR 4.6%, Foreigner 0.8%, Company 0.4%","HDB 46.1%, Private 53.9%","S$ 1,348 - S$ 1,348 psf / S$ 1,348 psf",S$ 2.1 - S$ 3.2 psf pm / S$ 2.6 psf pm,2.3%,,,,,,serenity-park,157F TAMARIND ROAD SERENITY PARK SINGAPORE 806110,806110,1.38975448826958,103.859430409106,157F,TAMARIND ROAD,SERENITY PARK,YIO CHU KANG MRT STATION,1850.6698056955383,Exit B
SUMMER SCENT,summer-scent,https://www.edgeprop.sg/condo-apartment/summer-scent,https://www.edgeprop.sg/condo-apartment/summer-scent,"1,170","1,639",1.4,SUMMER SCENT,Kang Choo Bin Road,548315,Apartment,999 Yrs From 19/02/1883,D19 / Hougang,2012,16 units,"S$ 1,321 psf in Sep 2024 for a 969-sqft unit",0.0%,"S$ 964 psf in May 2022 for a 1,711-sqft unit","Singaporean 69.6%, PR 13.0%, Foreigner 0.0%, Company 17.4%","HDB 30.4%, Private 69.6%","S$ 1,321 - S$ 1,321 psf / S$ 1,321 psf",S$ 2.3 - S$ 6.2 psf pm / S$ 3.8 psf pm,3.4%,KDC (KOVAN) DEVELOPMENT PTE LTD,13.0,,,,summer-scent,11 KANG CHOO BIN ROAD SUMMER SCENT SINGAPORE 548315,548315,1.36582015580987,103.88224703827,11,KANG CHOO BIN ROAD,SUMMER SCENT,KOVAN MRT STATION,682.2297873746141,Exit B
THE TIER,the-tier,https://www.edgeprop.sg/condo-apartment/the-tier,https://www.edgeprop.sg/condo-apartment/the-tier,814,"2,308",2.8,THE TIER,Pegu Road,328373,Apartment,Freehold,D12 / Novena,2011,48 units,"S$ 1,649 psf in May 2022 for a 549-sqft unit",-8.2%,"S$ 1,145 psf in Oct 2010 for a 538-sqft unit","Singaporean 78.0%, PR 13.4%, Foreigner 8.5%, Company 0.0%","HDB 51.2%, Private 48.8%","S$ 1,479 - S$ 1,548 psf / S$ 1,514 psf",S$ 4.8 - S$ 7.6 psf pm / S$ 6.0 psf pm,4.8%,KAIWATT DEVELOPMENT PTE LTD,14.0,,,,the-tier,28 PEGU ROAD THE TIER SINGAPORE 328373,328373,1.32302236265371,103.851021455853,28,PEGU ROAD,THE TIER,NOVENA MRT STATION,767.7835522862775,Exit A
SUITES @ TOPAZ,suites-topaz,https://www.edgeprop.sg/condo-apartment/suites-topaz,https://www.edgeprop.sg/condo-apartment/suites-topaz,"1,507","2,110",1.4,SUITES @ TOPAZ,Topaz Road,327849,"Apartment, Condominium",Freehold,D12 / Kallang,2012,46 units,"S$ 1,800 psf in Jun 2024 for a 377-sqft unit",-15.8%,S$ 908 psf in Nov 2018 for a 936-sqft unit,"Singaporean 74.4%, PR 21.1%, Foreigner 4.4%, Company 0.0%","HDB 61.1%, Private 38.9%","S$ 1,079 - S$ 1,800 psf / S$ 1,516 psf",S$ 2.8 - S$ 7.4 psf pm / S$ 6.0 psf pm,4.8%,GOODLAND DEVELOPMENT PTE LTD,13.0,,,,suites-topaz,3 TOPAZ ROAD SUITES @ TOPAZ SINGAPORE 327849,327849,1.32862584566182,103.865133145358,3,TOPAZ ROAD,SUITES @ TOPAZ,POTONG PASIR MRT STATION,480.86112095577295,Exit C
BALMORAL HEIGHTS,balmoral-heights,https://www.edgeprop.sg/condo-apartment/balmoral-heights,https://www.edgeprop.sg/condo-apartment/balmoral-heights,"2,378","3,807",1.6,BALMORAL HEIGHTS,Balmoral Crescent,259928,"Apartment, Condominium",Freehold,D10 / Newton,2004,44 units,"S$ 3,242 psf in Jul 2015 for a 549-sqft unit",-26.8%,"S$ 839 psf in Jul 2002 for a 2,185-sqft unit","Singaporean 78.0%, PR 13.2%, Foreigner 7.7%, Company 1.1%","HDB 14.4%, Private 85.6%","S$ 2,374 - S$ 2,374 psf / S$ 2,374 psf",S$ 4.4 - S$ 6.3 psf pm / S$ 5.0 psf pm,2.5%,FOOK TONG NAM CONSTRUCTION PTE LTD,21.0,,,,balmoral-heights,8 BALMORAL CRESCENT BALMORAL HEIGHTS SINGAPORE 259928,259928,1.31506262218241,103.834741202363,8,BALMORAL CRESCENT,BALMORAL HEIGHTS,NEWTON MRT STATION,421.087600408118,Exit C
NIM GARDENS,nim-gardens,https://www.edgeprop.sg/condo-apartment/nim-gardens,https://www.edgeprop.sg/condo-apartment/nim-gardens,"23,197",,,NIM GARDENS,Nim Road,"807583, 807584, 807585, 807586",Condominium,Freehold,D28 / Serangoon,1986,124 units,"S$ 1,349 psf in Dec 2024 for a 1,830-sqft unit",-4.4%,"S$ 299 psf in Jan 2005 for a 2,174-sqft unit","Singaporean 90.8%, PR 7.7%, Foreigner 0.8%, Company 0.0%","HDB 26.2%, Private 73.8%","S$ 1,216 - S$ 1,349 psf / S$ 1,290 psf",S$ 2.1 - S$ 2.4 psf pm / S$ 2.3 psf pm,2.2%,,,,,,nim-gardens,73 NIM ROAD NIM GARDENS SINGAPORE 807584,807584,1.38079725283841,103.863027865779,73,NIM ROAD,NIM GARDENS,ANG MO KIO MRT STATION,1904.52298664596,Exit D
HIJAUAN,hijauan,https://www.edgeprop.sg/condo-apartment/hijauan,https://www.edgeprop.sg/condo-apartment/hijauan,"1,841","3,869",2.1,HIJAUAN,Cavenagh Road,229618,Apartment,Freehold,D9 / Newton,2015,41 units,"S$ 2,647 psf in Dec 2011 for a 463-sqft unit",-24.4%,"S$ 1,601 psf in Sep 2013 for a 1,798-sqft unit","Singaporean 52.2%, PR 13.0%, Foreigner 28.3%, Company 6.5%","HDB 26.1%, Private 73.9%","S$ 2,001 - S$ 2,001 psf / S$ 2,001 psf",S$ 3.2 - S$ 6.4 psf pm / S$ 5.1 psf pm,3.1%,SDB ASIA PTE LTD,10.0,JGP ARCHITECTURE (S) PTE LTD,ASIABUILD ENGINEERING & CONSTRUCTION PTE LTD,,hijauan,63 CAVENAGH ROAD HIJAUAN SINGAPORE 229618,229618,1.30360072008439,103.841116863266,63,CAVENAGH ROAD,HIJAUAN,SOMERSET MRT STATION,403.9560559069875,Exit D
FOUR SEASONS PARK,four-seasons-park,https://www.edgeprop.sg/condo-apartment/four-seasons-park,https://www.edgeprop.sg/condo-apartment/four-seasons-park,"27,844","77,977",2.8,FOUR SEASONS PARK,Cuscaden Walk,"249692, 249693, 249694, 249695, 249690",Condominium,Freehold,D10 / River Valley,1994,202 units,"S$ 3,451 psf in Aug 2024 for a 2,260-sqft unit",-1.7%,"S$ 973 psf in Nov 1999 for a 2,260-sqft unit","Singaporean 26.9%, PR 24.4%, Foreigner 33.3%, Company 14.3%","HDB 3.3%, Private 96.7%","S$ 3,318 - S$ 3,451 psf / S$ 3,393 psf",S$ 4.2 - S$ 6.7 psf pm / S$ 5.2 psf pm,1.8%,,,,,,four-seasons-park,8 CUSCADEN WALK FOUR SEASONS PARK SINGAPORE 249692,249692,1.30325877748306,103.828469246045,8,CUSCADEN WALK,FOUR SEASONS PARK,ORCHARD MRT STATION,247.92811242864056,Exit 12
TRELLIS TOWERS,trellis-towers,https://www.edgeprop.sg/condo-apartment/trellis-towers,https://www.edgeprop.sg/condo-apartment/trellis-towers,"15,938","47,815",3.0,TRELLIS TOWERS,Lorong 1 Toa Payoh,319773,Condominium,Freehold,D12 / Toa Payoh,2000,384 units,"S$ 2,294 psf in Jan 2024 for a 710-sqft unit",-12.4%,"S$ 392 psf in Aug 2003 for a 4,844-sqft unit","Singaporean 79.5%, PR 7.3%, Foreigner 11.7%, Company 0.9%","HDB 46.5%, Private 53.5%","S$ 1,836 - S$ 2,202 psf / S$ 2,010 psf",S$ 3.2 - S$ 6.0 psf pm / S$ 4.3 psf pm,2.6%,,25.0,,,,trellis-towers,700 LORONG 1 TOA PAYOH TRELLIS TOWERS SINGAPORE 319773,319773,1.33050893129238,103.843673071862,700,LORONG 1 TOA PAYOH,TRELLIS TOWERS,TOA PAYOH MRT STATION,441.39960338211154,Exit D
WOO MON CHEW COURT,woo-mon-chew-court,https://www.edgeprop.sg/condo-apartment/woo-mon-chew-court,https://www.edgeprop.sg/condo-apartment/woo-mon-chew-court,630,905,1.3,WOO MON CHEW COURT,Woo Mon Chew Road,"455056, 456283, 456284",Apartment,Freehold,D15 / Bedok,Unknown,6 units,"S$ 929 psf in Jul 2015 for a 1,130-sqft unit",36.5%,"S$ 425 psf in Jun 2006 for a 1,130-sqft unit","Singaporean 90.0%, PR 0.0%, Foreigner 0.0%, Company 10.0%","HDB 50.0%, Private 50.0%","S$ 1,268 - S$ 1,268 psf / S$ 1,268 psf",S$ 2.8 - S$ 2.8 psf pm / S$ 2.8 psf pm,2.6%,,,,,,woo-mon-chew-court,2 WOO MON CHEW ROAD WOO MON CHEW COURT SINGAPORE 455056,455056,1.31383593394785,103.929588451107,2,WOO MON CHEW ROAD,WOO MON CHEW COURT,BEDOK MRT STATION,1083.288690169962,Exit A
WATERVIEW,waterview,https://www.edgeprop.sg/condo-apartment/waterview,https://www.edgeprop.sg/condo-apartment/waterview,"31,740","66,655",2.1,WATERVIEW,Tampines Avenue 1,"528684, 528685, 528686, 528687, 528688, 528689, 528690, 528691, 528692, 529779, 529780, 529781, 529782",Condominium,99 Yrs From 16/06/2010,D18 / Tampines,2014,696 units,"S$ 1,605 psf in Mar 2025 for a 1,184-sqft unit",-8.1%,"S$ 501 psf in Dec 2010 for a 4,456-sqft unit","Singaporean 81.4%, PR 14.7%, Foreigner 3.6%, Company 0.3%","HDB 57.4%, Private 42.6%","S$ 1,345 - S$ 1,605 psf / S$ 1,475 psf",S$ 2.8 - S$ 5.1 psf pm / S$ 4.1 psf pm,3.4%,SIM LIAN (TAMPINES ONE) PTE LTD,11.0,DESIGN LINK ARCHITECTS PTE LTD,SIM LIAN CONSTRUCTION CO PTE LTD,,waterview,77 TAMPINES AVENUE 1 WATERVIEW SINGAPORE 529782,529782,1.34793724474343,103.926272632348,77,TAMPINES AVENUE 1,WATERVIEW,TAMPINES WEST MRT STATION,1350.1210189564265,Exit A
CLEMENTI PARK,clementi-park,https://www.edgeprop.sg/condo-apartment/clementi-park,https://www.edgeprop.sg/condo-apartment/clementi-park,"91,055",,1.6,CLEMENTI PARK,Sunset Way,"597149, 597150, 597151, 597152, 597153, 597154, 597155, 597156, 597157, 597158, 597159",Condominium,Freehold,D21 / Clementi,1986,487 units,"S$ 1,781 psf in Sep 2023 for a 1,959-sqft unit",-13.8%,"S$ 325 psf in Aug 2001 for a 2,153-sqft unit","Singaporean 80.7%, PR 13.9%, Foreigner 4.6%, Company 0.2%","HDB 22.8%, Private 77.2%","S$ 1,440 - S$ 1,755 psf / S$ 1,535 psf",S$ 2.4 - S$ 4.6 psf pm / S$ 3.1 psf pm,2.5%,,,,,,clementi-park,137 SUNSET WAY CLEMENTI PARK SINGAPORE 597159,597159,1.33089356982014,103.766440219511,137,SUNSET WAY,CLEMENTI PARK,BEAUTY WORLD MRT STATION,1447.402607811123,Exit C
HONOLULU TOWER,honolulu-tower,https://www.edgeprop.sg/condo-apartment/honolulu-tower,https://www.edgeprop.sg/condo-apartment/honolulu-tower,"6,409","13,459",2.1,HONOLULU TOWER,Bukit Timah Road,259719,Apartment,Freehold,D10 / Tanglin,1985,30 units,"S$ 1,855 psf in Jun 2021 for a 5,823-sqft unit",0.0%,"S$ 356 psf in Dec 2004 for a 10,312-sqft unit","Singaporean 33.3%, PR 30.3%, Foreigner 24.2%, Company 12.1%","HDB 6.1%, Private 93.9%","S$ 1,855 - S$ 1,855 psf / S$ 1,855 psf",,,,,,,,honolulu-tower,341 BUKIT TIMAH ROAD HONOLULU TOWER SINGAPORE 259719,259719,1.31809073406194,103.831076582966,341,BUKIT TIMAH ROAD,HONOLULU TOWER,STEVENS MRT STATION,568.7832274921313,Exit 2
BOON TECK TOWER,boon-teck-tower,https://www.edgeprop.sg/condo-apartment/boon-teck-tower,https://www.edgeprop.sg/condo-apartment/boon-teck-tower,"5,426","15,193",2.8,BOON TECK TOWER,Boon Teck Road,329608,Condominium,Freehold,D12 / Novena,1984,78 units,"S$ 1,207 psf in Feb 2023 for a 1,658-sqft unit",0.0%,"S$ 311 psf in Dec 2002 for a 3,380-sqft unit","Singaporean 84.0%, PR 8.0%, Foreigner 8.0%, Company 0.0%","HDB 38.7%, Private 61.3%","S$ 1,207 - S$ 1,207 psf / S$ 1,207 psf",S$ 2.1 - S$ 2.6 psf pm / S$ 2.3 psf pm,2.3%,,,,,,boon-teck-tower,41 BOON TECK ROAD BOON TECK TOWER SINGAPORE 329608,329608,1.32771850493034,103.850327771845,41,BOON TECK ROAD,BOON TECK TOWER,TOA PAYOH MRT STATION,593.3410845228335,Exit A
DE LENTE,de-lente,https://www.edgeprop.sg/condo-apartment/de-lente,https://www.edgeprop.sg/condo-apartment/de-lente,"2,213","3,098",1.4,DE LENTE,Holland Road,278547,Apartment,Freehold,D10 / Bukit Timah,2002,30 units,"S$ 2,056 psf in Oct 2024 for a 1,109-sqft unit",0.0%,"S$ 714 psf in Dec 2005 for a 1,173-sqft unit","Singaporean 83.9%, PR 6.5%, Foreigner 6.5%, Company 3.2%","HDB 22.6%, Private 77.4%","S$ 2,056 - S$ 2,056 psf / S$ 2,056 psf",S$ 4.7 - S$ 5.6 psf pm / S$ 5.1 psf pm,3.0%,,23.0,,,,de-lente,104 HOLLAND ROAD DE LENTE SINGAPORE 278547,278547,1.31176940658246,103.801709961483,104,HOLLAND ROAD,DE LENTE,HOLLAND VILLAGE MRT STATION,622.2920331909618,Exit A
BOTANNIA,botannia,https://www.edgeprop.sg/condo-apartment/botannia,https://www.edgeprop.sg/condo-apartment/botannia,"37,717","60,347",1.6,BOTANNIA,West Coast Park,"127647, 127649, 127651, 127720, 127721, 127722, 127723, 127724, 127725, 127726, 127727, 127728","Condominium, Apartment",956 Yrs From 27/05/1928,D5 / Clementi,2009,493 units,"S$ 1,888 psf in Mar 2025 for a 1,593-sqft unit",-9.1%,"S$ 488 psf in May 2007 for a 3,380-sqft unit","Singaporean 77.2%, PR 12.8%, Foreigner 6.9%, Company 3.1%","HDB 34.7%, Private 65.3%","S$ 1,533 - S$ 1,888 psf / S$ 1,717 psf",S$ 2.8 - S$ 5.6 psf pm / S$ 4.2 psf pm,2.9%,CITY DEVELOPMENTS LTD/LEONIE COURT PTE LTD,16.0,,,,botannia,29A WEST COAST PARK BOTANNIA SINGAPORE 127723,127723,1.31793946694551,103.753274746226,29A,WEST COAST PARK,BOTANNIA,CLEMENTI MRT STATION,1332.3626274782573,Exit A
ONE DUSUN RESIDENCES,one-dusun-residences,https://www.edgeprop.sg/condo-apartment/one-dusun-residences,https://www.edgeprop.sg/condo-apartment/one-dusun-residences,"1,850","5,179",2.8,ONE DUSUN RESIDENCES,Jalan Dusun,329363,Apartment,Freehold,D12 / Novena,2016,154 units,"S$ 1,920 psf in Sep 2024 for a 484-sqft unit",-6.6%,"S$ 1,209 psf in Sep 2012 for a 883-sqft unit","Singaporean 78.6%, PR 12.2%, Foreigner 9.2%, Company 0.0%","HDB 47.4%, Private 52.6%","S$ 1,723 - S$ 1,920 psf / S$ 1,793 psf",S$ 3.1 - S$ 8.0 psf pm / S$ 5.8 psf pm,3.9%,LVND HOMES PTE LTD,9.0,,,,one-dusun-residences,1 JALAN DUSUN ONE DUSUN RESIDENCES SINGAPORE 329363,329363,1.32696539864482,103.84367423097,1,JALAN DUSUN,ONE DUSUN RESIDENCES,NOVENA MRT STATION,657.5957934493719,Exit A
SCK VILLE,sck-ville,https://www.edgeprop.sg/condo-apartment/sck-ville,https://www.edgeprop.sg/condo-apartment/sck-ville,"1,415","1,981",1.4,SCK VILLE,Haig Avenue,438840,Apartment,Freehold,D15 / Marine Parade,1997,14 units,"S$ 1,548 psf in Jan 2025 for a 1,001-sqft unit",0.0%,"S$ 347 psf in Oct 2003 for a 1,356-sqft unit","Singaporean 93.1%, PR 6.9%, Foreigner 0.0%, Company 0.0%","HDB 57.1%, Private 42.9%","S$ 1,548 - S$ 1,548 psf / S$ 1,548 psf",S$ 3.2 - S$ 3.4 psf pm / S$ 3.3 psf pm,2.6%,,,,,,sck-ville,2 HAIG AVENUE SCK VILLE SINGAPORE 438840,438840,1.30758107054406,103.899370893579,2,HAIG AVENUE,SCK VILLE,DAKOTA MRT STATION,1127.1096923734913,Exit A
HILLSIDE MANSIONS,hillside-mansions,https://www.edgeprop.sg/condo-apartment/hillside-mansions,https://www.edgeprop.sg/condo-apartment/hillside-mansions,"2,806","3,929",1.4,HILLSIDE MANSIONS,Hillside Drive,"548943, 548945",Apartment,Freehold,D19 / Hougang,1992,28 units,"S$ 1,406 psf in Jun 2025 for a 1,195-sqft unit",-4.8%,"S$ 418 psf in May 2005 for a 1,195-sqft unit","Singaporean 93.8%, PR 6.3%, Foreigner 0.0%, Company 0.0%","HDB 44.9%, Private 55.1%","S$ 1,272 - S$ 1,406 psf / S$ 1,339 psf",S$ 2.8 - S$ 3.2 psf pm / S$ 3.0 psf pm,2.7%,,,,,,hillside-mansions,24 HILLSIDE DRIVE HILLSIDE MANSIONS SINGAPORE 548943,548943,1.35827540489293,103.877119519016,24,HILLSIDE DRIVE,HILLSIDE MANSIONS,KOVAN MRT STATION,814.7495472968947,Exit A
CAMBIO SUITES,cambio-suites,https://www.edgeprop.sg/condo-apartment/cambio-suites,https://www.edgeprop.sg/condo-apartment/cambio-suites,"2,479","3,471",1.4,CAMBIO SUITES,Lim Tua Tow Road,547791,Apartment,Freehold,D19 / Serangoon,2016,53 units,"S$ 1,710 psf in Jun 2013 for a 506-sqft unit",-17.3%,"S$ 946 psf in Apr 2015 for a 1,744-sqft unit","Singaporean 87.7%, PR 9.2%, Foreigner 3.1%, Company 0.0%","HDB 40.6%, Private 59.4%","S$ 1,312 - S$ 1,599 psf / S$ 1,415 psf",S$ 2.6 - S$ 5.8 psf pm / S$ 4.4 psf pm,3.7%,URBAN LOFTS PTE LTD,9.0,,,,cambio-suites,28 LIM TUA TOW ROAD CAMBIO SUITES SINGAPORE 547791,547791,1.35521015162313,103.876458829956,28,LIM TUA TOW ROAD,CAMBIO SUITES,SERANGOON MRT STATION,598.1688050020109,Exit C
THE VERANDAH RESIDENCES,the-verandah-residences,https://www.edgeprop.sg/condo-apartment/the-verandah-residences,https://www.edgeprop.sg/condo-apartment/the-verandah-residences,"8,326","11,656",1.4,THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,"117341, 117342, 117343, 117344, 117345, 117370, 117629",Apartment,Freehold,D5 / Queenstown,2021,167 condos and 3 landed units,"S$ 2,129 psf in Sep 2023 for a 807-sqft unit",-4.8%,"S$ 1,530 psf in Apr 2018 for a 1,292-sqft unit","Singaporean 85.3%, PR 8.9%, Foreigner 4.2%, Company 1.6%","HDB 41.3%, Private 58.7%","S$ 1,915 - S$ 2,096 psf / S$ 2,027 psf",S$ 4.5 - S$ 8.0 psf pm / S$ 6.4 psf pm,3.8%,OXLEY AMBER PTE LTD,4.0,,,,the-verandah-residences,231B PASIR PANJANG ROAD THE VERANDAH RESIDENCES SINGAPORE 117344,117344,1.27926961664256,103.785005847857,231B,PASIR PANJANG ROAD,THE VERANDAH RESIDENCES,HAW PAR VILLA MRT STATION,537.0082470930901,Exit A
PALMWOODS,palmwoods,https://www.edgeprop.sg/condo-apartment/palmwoods,https://www.edgeprop.sg/condo-apartment/palmwoods,"7,406","10,369",1.4,PALMWOODS,Upper Changi Road,"487040, 487041",Condominium,"99 Yrs From 12/06/1996, 99 Yrs From 12/06/199",D16 / Bedok,1999,87 units,"S$ 1,099 psf in May 2024 for a 1,292-sqft unit",0.0%,"S$ 276 psf in Aug 2002 for a 2,756-sqft unit","Singaporean 81.6%, PR 12.1%, Foreigner 5.8%, Company 0.0%","HDB 50.3%, Private 49.7%","S$ 1,099 - S$ 1,099 psf / S$ 1,099 psf",S$ 2.9 - S$ 4.1 psf pm / S$ 3.4 psf pm,3.7%,NOT AVAILABLE,,ANDREW TAN ARCHITECTS PTE,DIGI BUILDER PTE LTD,,palmwoods,450 UPPER CHANGI ROAD PALM WOODS SINGAPORE 487040,487040,1.33223504669767,103.94724426424,450,UPPER CHANGI ROAD,PALM WOODS,TANAH MERAH MRT STATION,599.6363877560326,Exit B
SKY HABITAT,sky-habitat,https://www.edgeprop.sg/condo-apartment/sky-habitat,https://www.edgeprop.sg/condo-apartment/sky-habitat,"11,997","58,786",4.9,SKY HABITAT,Bishan Street 15,"573908, 573909",Condominium,99 Yrs From 30/05/2011,D20 / Bishan,2015,509 units,"S$ 2,049 psf in Jun 2025 for a 1,249-sqft unit",-10.1%,"S$ 1,116 psf in Oct 2022 for a 3,477-sqft unit","Singaporean 76.9%, PR 14.1%, Foreigner 8.7%, Company 0.3%","HDB 36.2%, Private 63.8%","S$ 1,686 - S$ 2,049 psf / S$ 1,843 psf",S$ 3.5 - S$ 6.2 psf pm / S$ 4.9 psf pm,3.2%,BISHAN RESIDENTIAL DEVELOPMENT PTE LTD,10.0,DCA ARCHITECTS PTE LTD,SHIMIZU CORPORATION,,sky-habitat,7 BISHAN STREET 15 SKY HABITAT SINGAPORE 573908,573908,1.35254238674324,103.851716848542,7,BISHAN STREET 15,SKY HABITAT,BISHAN MRT STATION,236.24375361520967,Exit D
